read_length,count
116,501
237,178815
72,274
236,191508
142,1105
131,793
143,826
13,50
63,192
12,38
211,2058
153,1252
80,328
88,321
104,529
172,1868
83,374
102,537
145,870
51,130
82,270
166,1552
138,1139
235,195429
58,171
93,414
94,481
161,1540
36,111
65,253
163,1430
234,186664
79,327
85,392
46,122
14,55
62,193
160,1346
15,40
52,144
91,366
144,1039
39,111
89,407
109,567
171,1620
18,58
119,734
26,80
128,854
217,2273
21,40
32,86
56,178
210,3030
218,2732
220,2509
146,895
151,1424
183,1890
34,103
66,195
193,2058
87,361
190,1707
10,174
33,89
60,244
75,371
95,483
135,856
59,213
16,106
49,160
41,143
170,1684
221,3063
213,2607
24,83
43,144
125,973
113,680
122,739
133,954
199,2707
208,1647
100,401
197,2256
74,229
110,648
38,127
162,1615
148,1303
205,3117
30,130
70,249
216,1813
97,406
169,1478
188,2103
206,2217
50,121
57,172
158,1260
54,193
219,2063
22,67
28,90
139,747
84,353
194,2340
196,2259
177,1961
45,170
123,577
198,2038
86,313
140,1054
168,1679
182,1673
127,769
81,265
137,787
47,143
68,244
29,85
126,724
212,2849
11,39
64,247
173,1275
17,72
129,840
189,2150
99,488
154,1292
174,1774
130,779
223,1902
105,513
35,100
76,338
120,661
184,1390
71,240
117,613
132,1074
176,1611
150,1075
48,163
134,781
159,1212
147,1384
108,561
180,1800
31,93
207,2245
20,73
61,173
152,1233
115,578
156,1202
77,204
103,453
69,211
191,1614
101,436
9,77
185,1656
181,2179
203,2778
111,640
67,248
141,1266
106,472
23,71
195,1917
149,1010
178,1546
78,286
44,124
27,87
192,1927
112,585
37,90
204,2239
98,423
114,775
107,553
165,1192
92,403
124,873
55,201
118,805
155,1136
121,677
167,1253
53,151
179,1676
73,283
222,2682
96,400
90,422
175,1822
136,810
201,2042
214,2711
164,1335
215,2538
42,96
186,2026
187,2188
202,2052
40,85
209,2619
200,1959
224,902
25,44
19,65
157,1155
225,694
